id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/45c957a4-0017-4c0c-8650-393d656fc5a0,Alex Valdez,Democratic,5,lower,Alex,Valdez,Male,alex.valdez.house@coleg.gov,,1981-06-03,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023b_valdez%2Calex.jpg?itok=NsEe2BaG,https://leg.colorado.gov/legislators/alex-valdez,https://ballotpedia.org/Alex_Valdez_(Colorado);https://en.wikipedia.org/wiki/Alex_Valdez;https://justfacts.votesmart.org/candidate/biography/181727/alex-valdez;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/alex-valdez,,,,,,,,,,,
ocd-person/34dbb5f1-239b-4924-911e-27ff91bde5cd,Amy Paschal,Democratic,18,lower,Amy,Paschal,Female,amy.paschal.house@coleg.gov,,1964-08-07,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/AmyPaschall24.jpg,https://leg.colorado.gov/legislators/amy-paschal,https://ballotpedia.org/Amy_Paschal;https://leg.colorado.gov/legislators/amy-paschal;https://www.linkedin.com/in/amy-paschal,,,,,,,,,,,
ocd-person/278f042b-4fe3-4325-ad59-bc240e4fda0c,Andy Boesenecker,Democratic,53,lower,Andy,Boesenecker,Male,andrew.boesenecker.house@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023b_boesenecker%2Candrew.jpg?itok=3jMO1y9L,https://leg.colorado.gov/legislators/andrew-boesenecker,https://ballotpedia.org/Andrew_Boesenecker;https://en.wikipedia.org/wiki/Andrew_Boesenecker;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/andrew-boesenecker;https://www.linkedin.com/in/andrew-boesenecker-477657134,,,,,,,,,,,
ocd-person/561892b1-c618-43cb-9767-9237514f0a92,Tony Hartsook,Republican,44,lower,Tony,Hartsook,Male,anthony.hartsook.house@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023b_hartsook%2Canthony.jpg?itok=jDCFtuOk,https://leg.colorado.gov/legislators/anthony-hartsook,https://ballotpedia.org/Anthony_Hartsook;https://en.wikipedia.org/wiki/Anthony_Hartsook;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/anthony-hartsook;https://www.linkedin.com/in/anthony-hartsook-a5a1ba3b,,,,,,,,,,,
ocd-person/6d1fcaf0-ed3d-4772-876f-09dc5e931556,Barbara Kirkmeyer,Republican,23,upper,Barbara,Kirkmeyer,Female,barbara.kirkmeyer.senate@coleg.gov,,1958-09-15,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023b_kirkmeyer%2Cbarb-.jpg?itok=0RWY0AqY,https://leg.colorado.gov/legislators/barbara-kirkmeyer,https://ballotpedia.org/Barbara_Kirkmeyer;https://en.wikipedia.org/wiki/Barbara_Kirkmeyer;https://justfacts.votesmart.org/candidate/biography/29991/barbara-kirkmeyer;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/barbara-kirkmeyer;https://www.linkedin.com/in/barb-kirkmeyer-8173183b,,,,,,,,,,,
ocd-person/ade56d2d-41d7-436d-b76b-85051f036c7a,Bob Marshall,Democratic,43,lower,Bob,Marshall,Male,bob.marshall.house@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023b_marshall%2C%20bob.jpg?itok=5ohSNQXK,https://leg.colorado.gov/legislators/bob-marshall,https://ballotpedia.org/Robert_Marshall_(Colorado);https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/bob-marshall,,,,,,,,,,,
ocd-person/5a396024-8dcf-438c-beca-a730e972d9d8,Brandi Bradley,Republican,39,lower,Brandi,Bradley,Female,brandi.bradley.house@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023b_bradley%2Cbrandi.jpg?itok=gkSqfLu8,https://leg.colorado.gov/legislators/brandi-bradley,https://ballotpedia.org/Brandi_Bradley;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/brandi-bradley,,,,,,,,,,,
ocd-person/fa9b604d-5981-4de1-97bc-9400e03909c9,Brianna Titone,Democratic,27,lower,Brianna,Titone,Female,brianna.titone.house@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023b_titone%2Cbrianna.jpg?itok=uJAlJK9O,https://leg.colorado.gov/legislators/brianna-titone,https://ballotpedia.org/Brianna_Titone;https://en.wikipedia.org/wiki/Brianna_Titone;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/brianna-titone;https://www.linkedin.com/in/brianna-titone-36b1419,,,,,,,,,,,
ocd-person/2d0d060c-6d5f-45da-a069-fe2be14547eb,Byron Pelton,Republican,1,upper,Byron,Pelton,Male,byron.pelton.senate@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023b_pelton%2Cbyron-.jpg?itok=dSwGCsUR,https://leg.colorado.gov/legislators/byron-pelton,https://ballotpedia.org/Byron_Pelton;https://en.wikipedia.org/wiki/Byron_Pelton;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/byron-pelton,,,,,,,,,,,
ocd-person/5f8d1bd0-329b-4a87-8d2f-cb62b8f2e921,Carlos Barron,Republican,48,lower,Carlos,Barron,Male,carlos.barron.house@coleg.gov,,,,https://i0.wp.com/coloradocommunitymedia.com/wp-content/uploads/2024/10/7A10C326-743A-4DF1-9625-6E709398C30F-JF-Services-Inc-Office-e1728345969755.jpg?resize=150%2C150&ssl=1,https://leg.colorado.gov/legislators/carlos-barron,https://ballotpedia.org/Carlos_Barron;https://en.wikipedia.org/wiki/Carlos_Barron_(politician);https://leg.colorado.gov/legislators/carlos-barron;https://www.linkedin.com/in/representative-elect-carlos-barron-1664695a,,,,,,,,,,,
ocd-person/0ddf3b75-c450-419e-8235-553157770e49,Cathy Kipp,Democratic,14,upper,Cathy,Kipp,Female,cathy.kipp.senate@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023b_kipp%2Ccathy-.jpg?itok=5TZvGZWf,https://leg.colorado.gov/legislators/cathy-kipp,https://ballotpedia.org/Cathy_Kipp;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/cathy-kipp;https://www.linkedin.com/in/cathy-kipp-009a3541,,,,,,,,,,,
ocd-person/a34a6b10-12d9-4109-86d1-76c311463333,Cecelia Espenoza,Democratic,4,lower,Cecelia,Espenoza,Female,cecelia.espenoza.house@coleg.gov,,1958-07-28,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/CeceliaEspenoza24.jpg,https://leg.colorado.gov/legislators/cecelia-espenoza,https://ballotpedia.org/Cecelia_Espenoza;https://en.wikipedia.org/wiki/Cecelia_Espenoza;https://leg.colorado.gov/legislators/cecelia-espenoza;https://www.linkedin.com/in/cecelia-espenoza,,,,,,,,,,,
ocd-person/faaae748-7c57-47df-bdf7-1811e0a61458,Chad Clifford,Democratic,37,lower,Chad,Clifford,Male,chad.clifford.house@coleg.gov,,,,,https://leg.colorado.gov/legislators/chad-clifford,https://leg.colorado.gov/legislators/chad-clifford;https://www.linkedin.com/in/chadclifford,,,,,,,,,,,
ocd-person/f72691ec-a5a0-413b-a344-e452009551a2,Chris Kolker,Democratic,16,upper,Chris,Kolker,Male,chris.kolker.senate@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023b_kolker%2Cchris.jpg?itok=DVQOTDRw,https://leg.colorado.gov/legislators/chris-kolker,https://ballotpedia.org/Chris_Kolker;https://en.wikipedia.org/wiki/Chris_Kolker;https://justfacts.votesmart.org/candidate/biography/181774/chris-kolker;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/chris-kolker;https://www.linkedin.com/in/christopher-kolker-7a07214,,,,,,,,,,,
ocd-person/0c428ee3-a327-4906-96c9-c46da7dfd7f1,Chris Richardson,Republican,56,lower,Chris,Richardson,Male,chris.richardson.house@coleg.gov,,1966-08-19,,https://i0.wp.com/coloradocommunitymedia.com/wp-content/uploads/2022/10/20221012-100004-Richardson20for20Facebook.jpg?resize=1200%2C782&ssl=1,https://leg.colorado.gov/legislators/chris-richardson,https://ballotpedia.org/Chris_Richardson_(Colorado);https://leg.colorado.gov/legislators/chris-richardson;https://www.linkedin.com/in/christopher-richardson-163a372,,,,,,,,,,,
ocd-person/715df6f2-cef6-4b88-b745-0207c8ffb4ff,Cleave Simpson,Republican,6,upper,Cleave,Simpson,Male,cleave.simpson.senate@coleg.gov,,,,http://leg.colorado.gov/sites/default/files/styles/width_300/public/2023b_simpson%2Ccleave.jpg?itok=tY6QiPQW,https://leg.colorado.gov/legislators/cleave-simpson,https://ballotpedia.org/Cleave_Simpson_Jr.;https://en.wikipedia.org/wiki/Cleave_Simpson;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/cleave-simpson;https://www.linkedin.com/in/cleave-simpson-48055038,,,,,,,,,,,
