id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/6fee4c5a-f125-46bc-b11a-d254e40428e4,Alexis Hansen,Republican,32,lower,Alexis,Hansen,Female,alexis.hansen@asm.state.nv.us,,,,http://leg.state.nv.us/Session/83rd2025/legislators/Assembly/Images/Hansen.Alexis.366.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=366;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/32,"https://ballotpedia.org/Alexis_Hansen;https://en.wikipedia.org/wiki/Alexis_Hansen;https://justfacts.votesmart.org/candidate/180994/alexis-hansen;https://www.alexishansennv.com/about-alexis;https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=366;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current                              "";https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/32",,,,"68 Amigo Court, Sparks, NV 89441",,,,,,,
ocd-person/d95b3a70-9bb4-43b8-a376-9d3151f9c44d,Angie Taylor,Democratic,15,upper,Angie,Taylor,Female,angela.taylor@sen.state.nv.us,,,,http://leg.state.nv.us/Session/83rd2025/legislators/Senators/Images/Taylor.Angela.424.jpg,https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/27;https://www.leg.state.nv.us/App/Legislator/A/Senate/Current/15,"https://ballotpedia.org/Angie_Taylor;https://en.wikipedia.org/wiki/Angie_Taylor;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current                             "";https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/27;https://www.leg.state.nv.us/App/Legislator/A/Senate/Current/15;https://www.linkedin.com/in/angie-taylor",,,,,,,,,,,
ocd-person/11f44d71-88c1-4022-a2f5-f8ca9b8795f2,Bert Gurr,Republican,33,lower,Bert,Gurr,Male,bert.gurr@asm.state.nv.us,,,,http://leg.state.nv.us/Session/82nd2023/legislators/Assembly/Images/Gurr.Bert.402.jpg,https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/33,"https://ballotpedia.org/Bert_Gurr;https://en.wikipedia.org/wiki/Bert_Gurr;https://justfacts.votesmart.org/candidate/204095/bert-gurr;https://www.gurr4nevada.com/about;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/33;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/33 """,,,,,,,,,,,
ocd-person/20c9828b-8026-440a-9328-0c2cbcbad016,Brian Hibbetts,Republican,13,lower,Brian,Hibbetts,Male,brian.hibbetts@asm.state.nv.us,,1974-07-01,,http://leg.state.nv.us/Session/82nd2023/legislators/Assembly/Images/Hibbetts.Brian.394.jpg,https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/13,"https://ballotpedia.org/Brian_Hibbetts;https://en.wikipedia.org/wiki/Brian_Hibbetts;https://justfacts.votesmart.org/candidate/204187/brian-hibbetts;https://www.brianhibbetts.com/about;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/13;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/13                              ""                           "";https://www.linkedin.com/in/brian-hibbetts-701326103",,,,"8461 W. Farm Road Number 120-287, Las Vegas, NV 89131",,,,,,,
ocd-person/287d0078-78f3-4717-8493-9f77d0eb57d6,Brittney Miller,Democratic,5,lower,Brittney,Miller,Female,brittney.miller@asm.state.nv.us,,,,http://leg.state.nv.us/Session/83rd2025/legislators/Assembly/Images/Miller.Brittney.304.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=304;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/5,"https://ballotpedia.org/Brittney_Miller;https://en.wikipedia.org/wiki/Brittney_Miller;https://justfacts.votesmart.org/candidate/biography/169513/brittney-miller;https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=304;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/5;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/5                           ""                            "";https://www.linkedin.com/in/brittney-miller-6227a865;https://www.miller4thepeople.com/meet-brittney",,,,"9030 W. Sahara Number 364, Las Vegas, NV 89117",,,,,,,
ocd-person/189d270a-96e5-45af-a2b8-bbcc2ad225c1,Carrie Buck,Republican,5,upper,Carrie,Buck,Female,carrie.buck@sen.state.nv.us,,1971-07-19,,http://leg.state.nv.us/Session/83rd2025/legislators/Senators/Images/Buck.Carrie.387.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=387;https://www.leg.state.nv.us/App/Legislator/A/Senate/Current/5,https://ballotpedia.org/Carrie_Buck_(Nevada);https://en.wikipedia.org/wiki/Carrie_A._Buck;https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=387;https://www.leg.state.nv.us/App/Legislator/A/Senate/Current;https://www.leg.state.nv.us/App/Legislator/A/Senate/Current/5;https://www.linkedin.com/in/dr-carrie-a-buck-1111b488,,,,"230 W. Highland Drive, Henderson, NV 89015",,,,,,,
ocd-person/67f22a3d-05c3-4256-8260-dac682607fc7,Cecelia González,Democratic,16,lower,Cecelia,González,Female,cecelia.gonzalez@asm.state.nv.us,,,,http://leg.state.nv.us/Session/83rd2025/legislators/Assembly/Images/Gonzlez.Cecelia.378.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=378;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/16,https://ballotpedia.org/Cecelia_Gonz%C3%A1lez;https://en.wikipedia.org/wiki/Cecelia_Gonz%C3%A1lez;https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=378;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/16;https://www.linkedin.com/in/cecelia-gonz%C3%A1lez-484738174,,,,,,,,,,,
ocd-person/0828d1f5-5772-4e62-88d8-1650abb8b749,Cinthia Moore,Democratic,11,lower,Cinthia,Moore,Female,cinthia.moore@asm.state.nv.us,,,,http://leg.state.nv.us/Session/83rd2025/legislators/Assembly/Images/Moore.Cinthia.412.jpg,https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/11,https://ballotpedia.org/Cinthia_Moore;https://justfacts.votesmart.org/candidate/180969/cinthia-moore;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/11;https://www.linkedin.com/in/cinthia-moore-008a7445,,,,,,,,,,,
ocd-person/b266a1bc-d8f5-472c-ba8d-e98e0d904ee3,Daniele Monroe-Moreno,Democratic,1,lower,Daniele,Monroe-Moreno,Female,daniele.monroemoreno@asm.state.nv.us,,,,http://leg.state.nv.us/Session/83rd2025/legislators/Assembly/Images/MonroeMoreno.Daniele.307.jpg,https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=307;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/1,https://ballotpedia.org/Daniele_Monroe-Moreno;https://en.wikipedia.org/wiki/Daniele_Monroe-Moreno;https://justfacts.votesmart.org/candidate/biography/169498/daniele-monroe-moreno;https://www.leg.state.nv.us/App/Legislator/A/api/81st2021/Legislator?id=307;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/1;https://www.linkedin.com/in/daniele-monroe-moreno-8089062a,,,,"5575 Simmons St. Number 154, North Las Vegas, NV 89031",,,,,,,
ocd-person/bf8b61a8-585a-4357-82f8-bd8de898262b,Danielle Gallant,Republican,23,lower,Danielle,Gallant,Female,danielle.gallant@asm.state.nv.us,,,,http://leg.state.nv.us/Session/82nd2023/legislators/Assembly/Images/Gallant.Danielle.397.jpg,https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/23,https://ballotpedia.org/Danielle_Gallant;https://en.wikipedia.org/wiki/Danielle_Gallant;https://justfacts.votesmart.org/candidate/key-votes/204208/danielle-gallant;https://www.daniellefornv.com/about;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current;https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/23;https://www.linkedin.com/in/danielle-gallant-a5267721,,,,"7380 S. Eastern Ave. Suite 124, Las Vegas, NV 89123",,,,,,,
