id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/d3d7563b-420c-4498-8bc5-4f9d6ed90806,Aaron Aylward,Republican,6,lower,Aaron,Aylward,Male,aaron.aylward@sdlegislature.gov,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Aaron-Aylward.PNG,https://sdlegislature.gov/Legislators/Profile/3786/Detail;https://sdlegislature.gov/Legislators/Profile/4333/Detail;https://sdlegislature.gov/Legislators/Profile/4474/Detail;https://sdlegislature.gov/Legislators/Profile/4581/Detail,https://ballotpedia.org/Aaron_Aylward;https://en.wikipedia.org/wiki/Aaron_Aylward;https://justfacts.votesmart.org/candidate/biography/180829/aaron-aylward;https://sdlegislature.gov/Legislators/Profile/3786/Detail;https://sdlegislature.gov/Legislators/Profile/4333/Detail;https://sdlegislature.gov/Legislators/Profile/4474/Detail;https://sdlegislature.gov/Legislators/Profile/4581/Detail,,,,,,,,,,,
ocd-person/02f0edff-2879-4fbb-9b23-796358690d07,Al Novstrup,Republican,3,lower,Al,Novstrup,Male,al.novstrup@sdlegislature.gov,,1954-08-04,,https://sdlegislature.gov/inc/img/Legislators/NOVSTRUP_2017.jpg,https://sdlegislature.gov/Legislators/Legislators/MemberDetail.aspx?Member=1456&Session=2018s;https://sdlegislature.gov/Legislators/Legislators/MemberDetail.aspx?Member=1595&Session=2019;https://sdlegislature.gov/Legislators/Profile/1828/Detail;https://sdlegislature.gov/Legislators/Profile/4395/Detail;https://sdlegislature.gov/Legislators/Profile/4644/Detail,https://ballotpedia.org/Al_Novstrup;https://en.wikipedia.org/wiki/Al_Novstrup;https://justfacts.votesmart.org/candidate/biography/48320/al-novstrup;https://sdlegislature.gov/Legislators/Legislators/MemberDetail.aspx?Member=1456&Session=2018s;https://sdlegislature.gov/Legislators/Legislators/MemberDetail.aspx?Member=1595&Session=2019;https://sdlegislature.gov/Legislators/Profile/1828/Detail;https://sdlegislature.gov/Legislators/Profile/4395/Detail;https://sdlegislature.gov/Legislators/Profile/4644/Detail;https://www.linkedin.com/in/al-novstrup-aa975012,,,,,,,,,,,
ocd-person/f9dd87da-ac23-450d-9574-1efa95ef0d81,Amber Arlint,Republican,12,lower,Amber,Arlint,Female,amber.arlint@sdlegislature.gov,,,,https://siouxfallschamber.com/wp-content/uploads/sites/3/2022/11/District-12-Amber-Arlint.webp,https://sdlegislature.gov/Legislators/Profile/4456/Detail;https://sdlegislature.gov/Legislators/Profile/4579/Detail,https://ballotpedia.org/Amber_Arlint;https://sdlegislature.gov/Legislators/Profile/4456/Detail;https://sdlegislature.gov/Legislators/Profile/4579/Detail;https://www.linkedin.com/in/amber-arlint-a5b2999a,,,,,,,,,,,
ocd-person/ae4b500c-4a37-43ed-a3a2-dbb08071e265,Amber Hulse,Republican,30,upper,Amber,Hulse,Female,amber.hulse@sdlegislature.gov,,1998-09-09,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/ahulse.jpg,https://sdlegislature.gov/Legislators/Profile/4701/Detail,https://ballotpedia.org/Amber_Hulse;https://en.wikipedia.org/wiki/Amber_Hulse;https://sdlegislature.gov/Legislators/Profile/4701/Detail;https://www.linkedin.com/in/amber-hulse,,,,,,,,,,,
ocd-person/169a8374-daaa-4884-9add-d1719eabd966,Arch Beal,Republican,12,upper,Arch,Beal,Male,arch.beal@sdlegislature.gov,,1955-02-23,,https://sdlegislature.gov/inc/img/Legislators/BEAL_2017.jpg,https://sdlegislature.gov/Legislators/Legislators/MemberDetail.aspx?Member=1518&Session=2018s;https://sdlegislature.gov/Legislators/Legislators/MemberDetail.aspx?Member=1567&Session=2019;https://sdlegislature.gov/Legislators/Profile/1769/Detail;https://sdlegislature.gov/Legislators/Profile/4336/Detail;https://sdlegislature.gov/Legislators/Profile/4584/Detail,https://ballotpedia.org/Arch_Beal;https://en.wikipedia.org/wiki/Arch_Beal;https://justfacts.votesmart.org/candidate/biography/151966/arch-beal;https://sdlegislature.gov/Legislators/Legislators/MemberDetail.aspx?Member=1518&Session=2018s;https://sdlegislature.gov/Legislators/Legislators/MemberDetail.aspx?Member=1567&Session=2019;https://sdlegislature.gov/Legislators/Profile/1769/Detail;https://sdlegislature.gov/Legislators/Profile/4336/Detail;https://sdlegislature.gov/Legislators/Profile/4584/Detail,,,,,,,,,,,
ocd-person/3b05e975-1b79-42ec-94e8-7a258142dd46,Bethany Soye,Republican,9,lower,Bethany,Soye,Female,bethany.soye@sdlegislature.gov,,,,"https://static.wixstatic.com/media/8bfd3e_dbac551f01a34584a6bd53e0bccca5ef~mv2.jpg/v1/fill/w_640,h_1144,fp_0.44_0.17,q_85,usm_0.66_1.00_0.01/8bfd3e_dbac551f01a34584a6bd53e0bccca5ef~mv2.webp",https://sdlegislature.gov/Legislators/Profile/3793/Detail;https://sdlegislature.gov/Legislators/Profile/4417/Detail;https://sdlegislature.gov/Legislators/Profile/4562/Detail;https://sdlegislature.gov/Legislators/Profile/4668/Detail,https://ballotpedia.org/Bethany_Soye;https://sdlegislature.gov/Legislators/Profile/3793/Detail;https://sdlegislature.gov/Legislators/Profile/4417/Detail;https://sdlegislature.gov/Legislators/Profile/4562/Detail;https://sdlegislature.gov/Legislators/Profile/4668/Detail;https://www.linkedin.com/in/bethanybostron,,,,,,,,,,,
ocd-person/1e3d4ebf-2669-4b20-acd4-e339d24f73c3,Bobbi Andera,Republican,10,lower,Bobbi,Andera,Female,bobbi.andera@sdlegislature.gov,,,,https://bobbilanderaforhouse.com/img/bobbi1.jpg,https://sdlegislature.gov/Legislators/Profile/4715/Detail,https://ballotpedia.org/Bobbi_Andera;https://justfacts.votesmart.org/candidate/biography/216160/bobbi-andera;https://sdlegislature.gov/Legislators/Profile/4715/Detail;https://www.linkedin.com/in/bobbi-andera-a3130840,,,,,,,,,,,
ocd-person/713ca571-304b-48f0-a853-b49fa859134e,Brandei Schaefbauer,Republican,3,lower,Brandei,Schaefbauer,Female,brandei.schaefbauer@sdlegislature.gov,,,,https://gray-ksfy-prod.cdn.arcpublishing.com/resizer/3wAp2PAmslSttABhdOPnmasLDYI=/980x0/smart/filters:quality(85)/cloudfront-us-east-1.images.arcpublishing.com/gray/Y4ZM7RT3TRB2ZBPHKDXEI5HL6E.jpg,https://sdlegislature.gov/Legislators/Profile/4444/Detail;https://sdlegislature.gov/Legislators/Profile/4556/Detail;https://sdlegislature.gov/Legislators/Profile/4662/Detail,https://ballotpedia.org/Brandei_Schaefbauer;https://sdlegislature.gov/Legislators/Profile/4444/Detail;https://sdlegislature.gov/Legislators/Profile/4556/Detail;https://sdlegislature.gov/Legislators/Profile/4662/Detail,,,,,,,,,,,
ocd-person/d9d8a84f-96df-4dbf-b638-d63e216166d4,Brian Mulder,Republican,11,lower,Brian,Mulder,Male,brian.mulder@sdlegislature.gov,,1976-07-11,,"https://img1.wsimg.com/isteam/ip/27b7dcd4-adbb-4603-9579-073f083153b8/Brian_BriCowanPhotography-11.jpg/:/cr=t:0%25,l:0%25,w:100%25,h:100%25/rs=w:400,cg:true",https://sdlegislature.gov/Legislators/Profile/4447/Detail;https://sdlegislature.gov/Legislators/Profile/4641/Detail,https://ballotpedia.org/Brian_Mulder;https://sdlegislature.gov/Legislators/Profile/4447/Detail;https://sdlegislature.gov/Legislators/Profile/4641/Detail;https://www.linkedin.com/in/brian-mulder-2a12821b0,,,,,,,,,,,
ocd-person/5a5c92d7-0b2c-418e-a0ce-8ba0a6e4790a,Carl Perry,Republican,3,upper,Carl,Perry,Male,carl.perry@sdlegislature.gov,,,,https://www.carlperry.org/uploads/1/1/7/5/117553499/carl-perry-profile-1200x1200_orig.jpg,https://sdlegislature.gov/Legislators/Legislators/MemberDetail.aspx?Member=1612&Session=2019;https://sdlegislature.gov/Legislators/Profile/1834/Detail;https://sdlegislature.gov/Legislators/Profile/4401/Detail;https://sdlegislature.gov/Legislators/Profile/4543/Detail;https://sdlegislature.gov/Legislators/Profile/4649/Detail,https://ballotpedia.org/Carl_Perry;https://en.wikipedia.org/wiki/Carl_E._Perry;https://justfacts.votesmart.org/candidate/biography/180823/carl-perry;https://sdlegislature.gov/Legislators/Legislators/MemberDetail.aspx?Member=1612&Session=2019;https://sdlegislature.gov/Legislators/Profile/1834/Detail;https://sdlegislature.gov/Legislators/Profile/4401/Detail;https://sdlegislature.gov/Legislators/Profile/4543/Detail;https://sdlegislature.gov/Legislators/Profile/4649/Detail;https://www.linkedin.com/in/carl-perry-808b6710,,,,,,,,,,,
