TO ADD AN UPCOMING EVENT TO THIS LIST FILL OUT THIS FORM:                                                                                                                                ,,,https://forms.gle/6y15wJ1d1mFMbfS57       ,,,,,,
Link to events in calendar format with filters:,,,IndianaResistanceAlliance.org,,,,,,
County,City,Date,Time (Local),Event Name,Location,Group,"Type (protest, town hall, ect.)",Notes/Info,
Floyd,New Albany,8/7/25,4-6 PM,"Big, Bad Bill Visibility Protest","Sen Young's Office, 3602 Northgate Ct",Do Something Southern Indiana,Protest,,
Hamilton,Carmel,8/7/25,6:00 PM,"Unpacking the ""Beautiful"" Bill's Federal Clean Energy Attack & Fighting Back","Carmel Library, Community Room A","Carmel Democratic Club, Indiana Conservation Voters",Meeting,,
Lake,Highland,8/7/25,6-7:30 PM,How We Save Indiana Together w/ State Sen Fady Qaddoura,Green Witch Cafe,Progressive Democrats of America,Meeting,,
Marion,Indianapolis,8/7/2025,8:00 AM,Stand Up to Gov Braun's & VP Vance Gerrymandering Scheme - Sit In,"Statehouse, Meet on 2nd Floor",MAD Voters,Sit In,https://facebook.com/events/s/statehouse-sit-in-no-cheaters-/742522835372265/,
Marion,Indianapolis,8/7/2025,9:30 AM & 12:30 PM,"Winner Don't Cheat - Reps Mrvan & Carson, State Reps Yoder & Pierce, Rev Greene","Statehouse, 2nd Floor Rotunda",,Protest,,
Marion,Indianapolis,8/7/2025,4-6 PM,Save Our Seats Protest Against Redistricting,"Governor's Mansion, 4750 N Meridian St",Indivisible Central Indiana,Protest,,
Monroe,Bloomington,8/7/25,7 PM - 9 PM,Queer Connections: Writing Beyond,318 S Washington St,Women Writing for (a) Change,Community,https://www.womenwritingbloomington.org/,
St Joseph,South Bend,8/7/25,11 AM - 12 PM,Press Conference Opposing Redistricting Power Grab,St Joseph County Courthouse,St Joseph County Democrats,Press Conference,,
Vanderburgh,Evansville,8/7/25,2-4 PM,Rally for Kindness,TBD,Bright Initiative,Rally,,
Washington,Seymour,8/7/25,2-4 PM,Stand of Solidarity Sit-In: No Cheaters in Democracy,407 N Main St,IN 9th District Democratic Party,Protest,,
St Joseph,South Bend,8/8/25,6-8 PM,Protest Sign Making Event,Cloud Walking Cafe & Lounge,South Bend Progressive Community Events,Sign Making,,
Steuben ,Angola,8/8/25,5:30-8 PM,"Steuben County Dems Fundraiser (BYO drinks & picnic dinner, dessert provided)","Commons Park, Selman Timber Frame Pavilion",Steuben County Democrats,Fundraiser,,
Allen,Fort Wayne,8/9/25,9-11 AM,Make & Meet Fundraiser w/ Sen Hunley ($30 cost),Sunbound Books,Andrea Hunley for Indy,Fundraiser,https://www.mobilize.us/mobilize/event/824048/,
Allen,Fort Wayne,8/9/25,12-2 PM,Hoosier Voices Tour: Town Hall w/ Indiana Black Legislative Caucus ,"Allen County Public Library, Main Branch Theater ",,Town hall,,
