ABBR,State,Population,NumCounties
AL,Alabama,5157699,67
AK,Alaska,740133,29
AZ,Arizona,7582384,15
AR,Arkansas,3088354,75
CA,California,39431263,58
CO,Colorado,5957493,64
CT,Connecticut,3675069,8
DE,Delaware,1051917,3
DC,District of Columbia,689545,1
FL,Florida,23372215,67
GA,Georgia,11180878,159
HI,Hawaii,1446146,5
ID,Idaho,2001619,44
IL,Illinois,12710158,102
IN,Indiana,6924275,92
IA,Iowa,3241488,99
KS,Kansas,2970606,105
KY,Kentucky,4588372,120
LA,Louisiana,4597740,64
ME,Maine,1405012,16
MD,Maryland,6263220,23
MA,Massachusetts,7136171,14
MI,Michigan,10140459,83
MN,Minnesota,5793151,87
MS,Mississippi,2943045,82
MO,Missouri,6245466,115
MT,Montana,1137233,56
NE,Nebraska,2005465,93
NV,Nevada,3267467,16
NH,New Hampshire,1409032,10
NJ,New Jersey,9500851,21
NM,New Mexico,2130256,33
NY,New York,19867248,62
NC,North Carolina,11046024,100
ND,North Dakota,796568,53
OH,Ohio,11883304,88
OK,Oklahoma,4095393,77
OR,Oregon,4272371,36
PA,Pennsylvania,13078751,67
RI,Rhode Island,1112308,5
SC,South Carolina,5478831,46
SD,South Dakota,924669,66
TN,Tennessee,7227750,95
TX,Texas,31290831,254
UT,Utah,3503613,29
VT,Vermont,648493,14
VA,Virginia,8811195,133
WA,Washington,7958180,39
WV,West Virginia,1769979,55
WI,Wisconsin,5960975,72
WY,Wyoming,587618,23
